,H_name,A_name,H_GoalsScored,A_GoalsScored,H_GoalsConceded,A_GoalsConceded,H_Points,A_Points,H_Results1,H_Results2,H_Results3,A_Results1,A_Results2,A_Results3,H_Shots1,H_Shots2,A_Shots1,A_Shots2,H_ShotsTarget1,H_ShotsTarget2,A_ShotsTarget1,A_ShotsTarget2,H_Red1,A_Red1,H_Corners1,H_Corners2,A_Corners1,A_Corners2,H_LastPosition,A_LastPosition,MatchDay,Result
2501,Fulham,Arsenal,23,43,39,17,15,51,L,L,D,D,W,W,9,5,16,21,2,2,9,13,0,0,7,4,14,5,16,4,23,A
1379,Blackburn,Bolton,21,30,33,31,25,30,W,W,L,W,W,D,14,16,9,11,6,11,3,6,0,0,6,6,8,5,15,7,24,A
6229,Man City,West Ham,44,12,9,30,40,10,W,W,W,L,D,L,26,14,7,8,12,5,3,4,0,0,6,7,6,5,3,11,15,H
4606,Arsenal,Stoke,8,3,5,2,9,7,W,W,W,D,W,W,14,12,11,15,6,5,3,5,0,0,7,3,2,4,4,13,5,H
5858,West Brom,Swansea,20,19,18,31,20,12,L,W,D,W,L,W,6,11,14,1,1,3,5,0,0,0,1,3,7,0,14,12,16,H
6299,Tottenham,West Ham,41,24,20,39,40,21,W,W,W,W,D,L,12,16,13,10,5,7,5,5,0,0,5,3,3,4,2,11,22,D
5542,Man United,Southampton,28,31,20,24,37,30,W,D,W,W,W,L,7,12,9,15,1,4,5,7,0,0,4,3,1,8,4,7,23,A
1131,Aston Villa,Man United,48,62,42,35,56,72,D,W,W,D,L,L,14,11,12,9,7,6,7,5,0,0,4,5,6,4,16,1,38,A
5914,Middlesbrough,West Ham,17,26,22,35,20,25,D,D,L,W,L,L,5,9,14,8,1,1,3,2,0,0,1,2,2,2,19,7,22,A
5399,Swansea,Tottenham,8,9,8,5,9,12,L,D,L,W,W,W,11,12,15,22,4,3,8,6,0,0,3,2,5,6,8,5,8,D
1603,Birmingham,Aston Villa,7,8,12,14,6,6,L,D,D,L,L,D,2,4,13,3,2,4,6,2,1,0,4,3,6,1,12,10,9,A
