,Date,H_name,A_name,H_GoalsScored,A_GoalsScored,H_GoalsConceded,A_GoalsConceded,H_Points,A_Points,H_Results1,H_Results2,H_Results3,A_Results1,A_Results2,A_Results3,H_Shots1,H_Shots2,A_Shots1,A_Shots2,H_ShotsTarget1,H_ShotsTarget2,A_ShotsTarget1,A_ShotsTarget2,H_Red1,A_Red1,H_Corners1,H_Corners2,A_Corners1,A_Corners2,H_LastPosition,A_LastPosition,MatchDay,Result
99,2001-10-27,Tottenham,Middlesbrough,14,8,14,17,11,8,W,L,L,D,L,D,24,7,11,5,12,3,4,3,0,0,16,4,4,6,12,14,10,H
100,2001-10-28,Derby,Chelsea,8,14,17,10,7,15,D,D,L,D,L,D,13,10,19,15,8,5,8,5,0,0,4,5,10,8,16,6,11,D
101,2001-10-28,Ipswich,West Ham,10,12,15,19,8,14,D,D,D,W,W,W,10,6,12,10,5,2,4,4,0,0,7,3,9,1,5,17,11,A
102,2001-10-29,Blackburn,Leicester,18,6,14,23,13,5,D,W,L,L,L,L,9,24,8,8,5,14,3,2,0,0,4,7,6,3,19,13,11,D
103,2001-11-03,Bolton,Everton,12,16,11,15,15,14,W,L,L,L,W,D,7,9,18,10,2,3,8,6,0,0,0,7,13,8,19,15,11,D
104,2001-11-03,Leicester,Sunderland,6,9,23,12,5,12,L,L,L,L,L,W,8,8,15,15,3,2,5,7,0,0,6,3,5,3,13,7,11,H
105,2001-11-03,Middlesbrough,Derby,10,8,17,17,11,7,W,D,L,D,D,L,7,11,13,10,5,4,8,5,1,0,4,4,4,5,14,16,11,H
106,2001-11-03,Newcastle,Aston Villa,18,17,14,8,17,21,W,L,W,W,W,L,6,8,10,16,4,3,7,6,0,0,3,7,6,3,11,8,11,H
107,2001-11-03,Southampton,Blackburn,9,18,19,14,7,13,L,D,L,D,W,L,11,11,9,24,5,6,5,14,0,0,4,4,4,7,10,19,11,A
108,2001-11-03,West Ham,Fulham,12,10,19,12,14,11,W,W,W,W,D,L,12,10,19,7,4,4,5,3,0,0,9,1,6,3,17,19,11,A
109,2001-11-04,Arsenal,Charlton,22,8,9,11,19,10,D,D,W,L,L,D,14,18,14,4,5,11,4,0,0,0,6,5,13,4,2,9,11,A
110,2001-11-04,Chelsea,Ipswich,16,12,11,18,18,8,W,D,L,L,D,D,15,19,12,10,6,8,8,5,0,0,5,10,8,7,6,5,12,H
111,2001-11-04,Leeds,Tottenham,15,18,5,15,23,17,W,D,D,W,W,W,20,12,10,9,9,6,4,3,0,0,7,2,8,2,4,12,12,H
112,2001-11-04,Liverpool,Man United,21,28,11,20,23,18,D,W,W,L,D,L,5,8,10,18,2,5,3,6,0,0,3,1,1,6,3,1,12,H
113,2001-11-17,Aston Villa,Middlesbrough,17,11,11,19,21,11,L,W,W,L,W,D,10,10,8,7,2,7,3,5,0,0,8,6,5,4,8,14,12,D
114,2001-11-17,Blackburn,Liverpool,18,21,14,11,14,23,D,D,W,D,W,W,12,9,5,8,3,5,2,5,0,0,7,4,3,1,19,3,12,D
115,2001-11-17,Derby,Southampton,9,10,22,21,7,7,L,D,D,L,L,D,6,13,16,11,4,8,6,5,0,0,4,4,10,4,16,10,12,H
116,2001-11-17,Fulham,Newcastle,12,21,12,14,14,20,W,W,D,W,W,L,14,19,17,6,6,5,7,4,0,0,8,6,13,3,19,11,12,H
117,2001-11-17,Man United,Leicester,28,6,20,23,18,6,L,D,L,D,L,L,10,18,10,8,3,6,5,3,0,0,1,6,1,6,1,13,12,H
118,2001-11-17,Tottenham,Arsenal,18,24,15,13,17,19,W,W,W,L,D,D,10,9,26,14,4,3,12,5,0,0,8,2,4,6,12,2,12,D
119,2001-11-18,Everton,Chelsea,18,16,17,11,15,18,D,L,W,W,D,L,11,18,15,19,6,8,6,8,0,0,3,13,5,10,15,6,12,D
120,2001-11-18,Ipswich,Bolton,13,16,20,16,8,16,L,L,D,D,L,W,7,12,16,9,3,8,8,5,0,1,6,8,9,2,5,19,13,A
121,2001-11-18,Sunderland,Leeds,10,15,14,7,13,23,L,D,L,L,W,D,11,10,12,20,4,6,6,9,0,0,7,7,3,7,7,4,13,H
122,2001-11-19,Charlton,West Ham,16,16,17,25,14,15,D,W,L,D,L,W,18,9,11,12,9,4,7,6,0,0,13,6,4,10,9,17,13,D
123,2001-11-24,Bolton,Fulham,16,15,16,13,16,17,D,L,W,W,W,W,16,9,8,14,8,5,8,6,1,0,9,2,4,8,19,19,13,D
